Vimss ID	Upstream	Synonymous	Nonsynonymous	Downstream	EC numbers	Names of metabolites	Log2 ratio	p-value	SD test	SD ref	TF binding sites	Sigma sites	Ortholog	Max ratio	Gene name	Annotation	Direction of reaction	Nonsynonymous mutation	Identity of BLAST match	Vimss ID	Upstream	Synonymous	Nonsynonymous	Downstream	EC numbers	Names of metabolites	Log2 ratio	p-value	SD test	SD ref	TF binding sites	Sigma sites	Ortholog	Max ratio	Gene name	Annotation	Direction of reaction	Nonsynonymous mutation		
1937124	0	1	0	0	"3.6.1.11,3.6.1.40"	"phosphoric acid , phosphoric acid"	"0.688589475140754 , 0.688589475140754"	"0.218766561334181 , 0.218766561334181"	"0.0166613353448738 , 0.0166613353448738"	"0.0101369418270666 , 0.0101369418270666"			3475948	0.688589475	gpp	Exopolyphosphatase	product	0		3475948	0	1	0	0	"3.6.1.11,3.6.1.40"	"phosphoric acid , phosphoric acid"	"-0.688589475140754 , -0.688589475140754"	"0.218766561334181 , 0.218766561334181"	"0.0101369418270666 , 0.0101369418270666"	"0.0166613353448738 , 0.0166613353448738"			1937124	-0.688589475	gppA	Exopolyphosphatase	product	0		
18403	0	22	2	0	"2.4.2.2,2.4.2.4"	"phosphoric acid , phosphoric acid"	"0.688589475140754 , 0.688589475140754"	"0.218766561334181 , 0.218766561334181"	"0.0166613353448738 , 0.0166613353448738"	"0.0101369418270666 , 0.0101369418270666"	 CRP CRP CytR DeoR Fis ModE	 Sigma70	3476568	0.688589475	deoA	Thymidine phosphorylase	reactant	"S 409 -> N 409 ,  D 412 -> E 412"		3476568	0	22	2	0	"2.4.2.2,2.4.2.4"	"phosphoric acid , phosphoric acid"	"-0.688589475140754 , -0.688589475140754"	"0.218766561334181 , 0.218766561334181"	"0.0101369418270666 , 0.0101369418270666"	"0.0166613353448738 , 0.0166613353448738"	 CRP CRP CytR DeoR Fis ModE	 Sigma70	18403	-0.688589475	deoA	Thymidine phosphorylase	reactant	"N 409 -> S 409 ,  E 412 -> D 412"		
14524	0	2	0	0	1.5.1.2	proline	-0.275002843	0.807992052	0.021561528	0.018159289			3472406	-0.275002843	proC	Pyrroline-5-carboxylate reductase	reactant	0		3472406	0	2	0	0	1.5.1.2	proline	0.275002843	0.807992052	0.018159289	0.021561528			14524	0.275002843	proC	Pyrroline-5-carboxylate reductase	reactant	0		
15138	0	75	5	0	1.5.99.8	proline	-0.275002843	0.807992052	0.021561528	0.018159289	 BasR MarA PutA	 Sigma70	3473077	-0.275002843	putA	Delta 1-pyrroline-5-carboxylate dehydrogenase	reactant	"V 966 -> A 966 ,  I 903 -> V 903 ,  Q 834 -> R 834 ,  V 704 -> A 704 ,  F 675 -> Y 675"		3473077	0	75	5	0	1.5.99.8	proline	0.275002843	0.807992052	0.018159289	0.021561528	 BasR MarA PutA	 Sigma70	15138	0.275002843	putA	Delta 1-pyrroline-5-carboxylate dehydrogenase	reactant	"A 966 -> V 966 ,  V 903 -> I 903 ,  R 834 -> Q 834 ,  A 704 -> V 704 ,  Y 675 -> F 675"		
1937180	0	19	0	0	5.3.1.14	rhamnose 1	0.360535579	0.409413806	0.001069045	0.001699268	 CRP RhaS	 Sigma70	3476084	0.360535579	rhaA	L-rhamnose isomerase	reactant	0		3476084	0	19	0	0	5.3.1.14	rhamnose 1	-0.360535579	0.409413806	0.001699268	0.001069045	 CRP RhaS	 Sigma70	1937180	-0.360535579	rhaA	L-rhamnose isomerase	reactant	0		
18182	0	12	1	0	"1.3.1.6,1.3.99.1"	"succinic acid , succinic acid"	"0.755523820441955 , 0.755523820441955"	"0.449215044053545 , 0.449215044053545"	"0.00378396524930842 , 0.00378396524930842"	"0.00245608974381594 , 0.00245608974381594"	 DcuR FNR NarL	" Sigma38,Sigma70"	3476350	0.75552382	frdA	"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit"	reactant	E 59 -> D 59		3476350	0	12	1	0	1.3.99.1	succinic acid	-0.75552382	0.449215044	0.00245609	0.003783965	 DcuR FNR NarL	" Sigma38,Sigma70"	18182	-0.75552382	frdA	"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit"	reactant	D 59 -> E 59		
14149	0	13	0	0	4.2.3.1	threonine	1.149147387	0.435472615	0.032994788	0.013933048		 Sigma70	3471957	1.149147387	thrC	Threonine synthase	product	0		3471957	0	13	0	0	4.2.3.1	threonine	-1.149147387	0.435472615	0.013933048	0.032994788		 Sigma70	14149	-1.149147387	thrC	Threonine synthase	product	0		
17677	0	26	1	0	1.1.1.103	threonine	1.149147387	0.435472615	0.032994788	0.013933048	 Lrp	 Sigma70	3475783	1.149147387	tdh	Threonine dehydrogenase and related Zn-dependent dehydrogenases	reactant	S 145 -> A 145		3475783	0	26	1	0	1.1.1.103	threonine	-1.149147387	0.435472615	0.013933048	0.032994788	 Lrp	 Sigma70	17677	-1.149147387	tdh	Threonine dehydrogenase and related Zn-dependent dehydrogenases	reactant	A 145 -> S 145		
14475	0	8	1	0	3.5.4.1	thymine	1.04563737	0.384834321	0.028853041	0.00790537	 Nac PurR	 Sigma70	3472355	1.04563737	codA	Cytosine deaminase and related metal-dependent hydrolases	product	R 236 -> H 236		3472355	0	8	1	0	3.5.4.1	thymine	-1.04563737	0.384834321	0.00790537	0.028853041	 Nac PurR	 Sigma70	14475	-1.04563737	codA	Cytosine deaminase and related metal-dependent hydrolases	product	H 236 -> R 236		
14377	0	3	0	0	2.4.2.22	xanthine	0.188267232	0.873543793	0.05740436	0.055448496		 Sigma70	3472218	0.188267232	gpt	Adenine/guanine phosphoribosyltransferases and related PRPP-binding proteins	product	0		3472218	0	3	0	0	2.4.2.22	xanthine	-0.188267232	0.873543793	0.055448496	0.05740436		 Sigma70	14377	-0.188267232	gpt	Adenine/guanine phosphoribosyltransferases and related PRPP-binding proteins	product	0		
16946	0	0	1	0	1.17.1.4	xanthine	0.188267232	0.873543793	0.05740436	0.055448496	 FNR	 Sigma54	3474974	0.188267232	xdhA	"Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL homologs"	product	I 318 -> T 305		3474974	0	0	1	0	1.17.1.4	xanthine	-0.188267232	0.873543793	0.055448496	0.05740436	 FNR	 Sigma54	16946	-0.188267232	xdhA	"Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL homologs"	product	T 305 -> I 318		
16963	0	5	1	0	3.5.4.3	xanthine	0.188267232	0.873543793	0.05740436	0.055448496		 Sigma70	3474991	0.188267232	guaD	Cytosine deaminase and related metal-dependent hydrolases	product	D 350 -> G 351		3474991	0	5	1	0	3.5.4.3	xanthine	-0.188267232	0.873543793	0.055448496	0.05740436		 Sigma70	16963	-0.188267232	guaD	Cytosine deaminase and related metal-dependent hydrolases	product	G 351 -> D 350		
14411	 	 	 	 	2.1.3.3	ornithine 3TMS minor	0.536819815	0.569845113	0.024088108	0.005951662	 ArgR	Sigma70	3476462	0.536819815	argF	Ornithine carbamoyltransferase	reactant		88%	3476462	 	 	 	 	2.1.3.3	ornithine 3TMS minor	-0.536819815	0.569845113	0.005951662	0.024088108	 ArgR	 	14411	 	argF	Ornithine carbamoyltransferase	 			
16506	 	 	 	 	2.4.2.1	"phosphoric acid, adenine"	"1.093115585, 1.09311558495539"	"0.218766561334181, 0.413675160607389"	"0.0166613353448738, 0.0407441325050659"	"0.0101369418270666, 0.0130140122278509"	 XapR	Sigma38 Sigma70	no ortholog	1.093115585	xapA	Purine nucleoside phosphorylase	 		no hit	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 			
14553	0	0	0	0	 	 	0.75552382	 	 	 		Sigma32 Sigma70	3472438	0.75552382	ribE	Riboflavin synthase beta-chain	 		 	3472438	0	0	0	0	 	 	 	 	 	 			14553	-0.75552382	ribH	Riboflavin synthase beta-chain	 			
14736	 	 	 	 	 	 	 	 	 	 	 	Sigma24 Sigma70	3472603	 	ybdH	Glycerol dehydrogenase and related enzymes		 	97%	3472603	 	 	 	 	1.1.1.1	glycerol	-0.963959664	0.606991841	0.004819855	0.019794095			14736	-1.20413896	EcHS_A0651	Glycerol dehydrogenase and related enzymes	 	 	 	
